bodyType,color,description,engine,engineDisplacement,enginePower,fuelType,equipment_dict,mileage,card_type,brand,model_name,model_name2,name,datetime,parsing_unixtime,productionDate,sell_id,vehicleTransmission,Владельцы,ПТС,Привод,Руль,Состояние,Таможня,price,Владение
внедорожник 5 дв.,чёрный,"Продается действительно честный Honda CR-V в идеальном состоянии для 2014 года.С родным минимальным пробегом 88тыс км,  подтверждённым  всеми базами и состоянием авто, едет как новый!В богатой комплектации, на коже, с люком, камерой заднего вида и т.д1 единственный владелец за все время, документы оригинал, приобретали новой у официального дилера. Год выпуска 2014, документы оригинал, единственная запись!По кузову ровный, не бился, ни резался, не варился, не мятый, не царапанный, железо в заводском окрасе, за все время только косметический окрас передней левой и задней двери(была притертость, устранили у официалов) шпаклёвки нет, есть прибор дам померить!Дополнительно установлен автозапуск с обратной связью.Два комплекта ключей, два комплекта хороших колёс.Уверен кто хочет такое авто для себя и на долгие года-приедет проверит и без сомнений приобретёт!Диагностики и проверки приветствую, любой ГРАМОТНЫЙ специалист-подборщик даст одобрение, если вы посмотрели минимум 5 машин имеете полное представление, и ваши нервы от автохлама закончились-приезжайте, останетесь довольны! Небольшой торг возможен.Юридически чисто, без ограничений и других проблем.Техническая часть идеально, двигатель шепчет, акпп полноценный автомат, никаких вариаторов, переключает без малейших пинков, ходовая и рулевая без стуков, ошибок по электрике нет, печка греет, климат холодит, стёкла все родные, включая лобовое, без трещин, салон чист и ухожен, кожа, пластик и руль без затертостей.Полный комплект документов.",2.4 л / 190 л.с. / Бензин,2.4 л , 190 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4310167/3e7915d49cffcb1b661e03e474eb9fdc/1200x900', 'km-age': 88000, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CR_V', 'modelName': 'CR-V', 'power': 190, 'price': 1700000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2014}",88 000 км,Б/у,Honda,CR-V,IV,2.4 AT (190 л.с.) 4WD,2021-05-12 02:07:45.411421+03:00,1620774465,2014,№ 1103275642,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 700 000 ₽,
внедорожник 5 дв.,чёрный,,3.5 л / 281 л.с. / Бензин,3.5 л , 281 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hUQJO8tm8iiNeVIzjfAA-iHIn-CkcUdRcDgsaT9OILUd_3EE4Pc-5-CEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 136000, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CROSSTOUR', 'modelName': 'Crosstour', 'power': 281, 'price': 1400000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2013}",136 000 км,Б/у,Honda,Crosstour,I Рестайлинг,3.5 AT (281 л.с.) 4WD,2021-05-12 02:07:46.336521+03:00,1620774466,2013,№ 1103199891,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 400 000 ₽,4 месяца
внедорожник 5 дв.,чёрный,"Уникальное предложение на автомобили с пробегом от официального дилера ГК «АВТОКЛАСС»! Мы заботимся о Вас и ПРОВЕРЯЕМ ИСТОРИЮ КАЖДОГО АВТОМОБИЛЯ. Эту машину можно купить в кредит. Мы предлагаем: 1.    КРЕДИТ - от 6,9% годовых. Всего по двум документам. Доля одобрения заявок более 85%. 2.    Первоначальный взнос от 0%. 3.    Одобрение кредита за один час и выдача автомобиля день в день. ВЫГОДА до 50 000 рублей по программе «Кредит TradeIn». Возможны дополнительные привилегии для Вас на данный автомобиль. Размер максимальной выгоды уточняйте при визите в автосалон. Осмотреть автомобиль можно по адресу:       - Тула, Лейтейзена 1а ГК «Автокласс» работает уже более 25 лет, мы накопили полезный опыт, и он весь к Вашим услугам. Дополнительные услуги при покупке автомобиля: 1.    Данный автомобиль прошел диагностику более, чем по 100 пунктам и имеет сертификат технической гарантии. 2.    Проведена предпродажная подготовка. 3.    100% гарантия юридической чистоты. 4.    Автомобиль можно приобрести за наличный расчет или безналичным платежом. 5.    Мы примем Вашу машину по рыночной стоимости в рамках программы ТРЕЙД- ИН и при необходимости — выплатим за нее кредит. 6.    Специальные условия по кредитованию и страхованию. 7.    Круглосуточная техническая поддержка с бесплатным эвакуатором. Заинтересовались? Будем Вам рады! Звоните прямо сейчас! ГК ""АВТОКЛАСС"" - официальный дилер BMW, Mazda, Mitsubishi, Hyundai, Renault, Citroen, Peugeot, Fiat, Ford, Lada, Changan, Chery. Группа компаний ""АВТОКЛАСС"" — один из крупнейших Тульских холдингов, в которые входят официальные дилеры известных мировых брендов. На автомобильном рынке мы зарекомендовали себя как надежного дилера уже более 25 лет назад. Мы предлагаем полный комплекс услуг по предпродажной подготовке и последующему сервису. ",2.4 л / 186 л.с. / Бензин,2.4 л , 186 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMSK-4omMCiMLpKzmLHBL-FIXGBlcRKE8_gtfKrPYGAJKmQQNmJ-5mCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 116250, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CR_V', 'modelName': 'CR-V', 'power': 186, 'price': 2099000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'VARIATOR', 'type': 'suv', 'year': 2017}",116 250 км,Б/у,Honda,CR-V,V,2.4 CVT (186 л.с.) 4WD,2021-05-12 02:07:46.941445+03:00,1620774466,2017,№ 1102811330,вариатор,2 владельца,Оригинал,полный,Левый,Не требует ремонта,Растаможен,2 099 000 ₽,
внедорожник 5 дв.,синий,"Автомобиль проверен и готов к эксплуатацииГарантия юридической чистоты!- подтвержденный пробег с историей обслуживания и отметками в сервисной книге- салон автомобиля в отличном состоянии.- ПТС оригинал- при покупке автомобиля по системе trade-in предоставляется дополнительная скидка от 20 000 руб.Специальные программы кредитования- процентная ставка от 3,9% годовых.- возможен кредит без первоначального взноса- выгода при покупке а/м в кредит – от 20 000 руб.При покупке автомобиля со всеми сопутствующими услугами скидки суммируются!ГК «АВТОМИР», Автомобили с пробегом - это Ваш надежный партнер, на рынке автомобилей с пробегом.Мы готовы предложить Вам:- большой выбор подготовленных и проверенных автомобилей с пробегом. Все автомобили юридически проверены и прошли комплексную диагностику по 50 параметрам.- Техническая помощь на дорогах  круглосуточно.-  услуги по выкупу, а так же комиссионной продажи вашего автомобиля на выгодных для Вас условиях.Ждем Вас у нас в автосалоне!Комплектация:• Антиблокировочная система• Подушки безопасности водителя• Центральный замок• Электростеклоподъемники передние• Кондиционер• CD• DVD• MP3• Литые легкосплавные диски• Домкрат• Полноразмерное запасное колесо",2.0 л / 147 л.с. / Бензин,2.0 л , 147 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4581701/11c9020820e34efe306bcd274134ac8e/1200x900', 'km-age': 222000, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CR_V', 'modelName': 'CR-V', 'power': 147, 'price': 302337, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2001}",222 000 км,Б/у,Honda,CR-V,I Рестайлинг,2.0 AT (147 л.с.) 4WD,2021-05-12 02:07:47.558032+03:00,1620774467,2001,№ 1102631654,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,Растаможен,302 337 ₽,
внедорожник 5 дв.,чёрный,"ПРИ ПОКУПКЕ АВТОМОБИЛЯ В КРЕДИТ ПОЛУЧИТЕ СКИДКУ ДО 100 000 РУБЛЕЙ!Автомобиль в отличном состоянии. Приобритался у официального дилера в ноябре 2010 года. Оригинальный ПТС. Бережная эксплуатация. Салон чистый ухоженный. Автомобиль прошел комплексную диагностику и предпродажную подготовку.Полный пакет документов, 2 комплекта ключей.На все автомобили компания предоставляет гарантию юридической чистотыПринимаются дистанционные заявки на рассмотрение кредита по телефону!Решение банка в течении 30 минут. Оформление сделки в течении часа.Данный автомобиль можно приобрести в кредит на ОСОБЫХ условиях от Банков Партнеров по двум документам:— Первоначальный взнос от 0%;— Срок кредита от 6 месяцев до 7 лет;— Процентная ставка от 5,9% годовых;— Оформление кредита по двум документам;— Сумма кредита от 50 000 до 2 500 000 рублей;— Досрочное погашение без штрафов и комиссий;— Оформление КАСКО – по желанию;— Без справок и поручителей.СРОЧНЫЙ ВЫКУП АВТОМОБИЛЯ!При покупке автомобиля по программе «Trade-in», получите скидку до 50 000 рублей!Автомобиль можно приобрести за наличный расчет, безналичным платежом, также мы примем Ваш автомобиль по рыночной стоимости в рамках программы «Trade-in» в день обращения.В комплектации:- Климат-контроль- Круиз-контроль- Мультирулевое колесо- Подушки безопасности- Антиблокировочная система (ABS)- Центральный замок- Сигнализация (Иммобилайзер)- Легкосплавные диски (18 радиус)- Электростеклоподъемники (все)- Обивка салона (кожа)- Бортовой компьютер- Мультимедиа (CD),USB,AUX,Bluetooth- Обогрев зеркал- Обогрев сидений- Усилитель руля",2.4 л / 166 л.с. / Бензин,2.4 л , 166 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hUQK-8rncmiYecfljPCBL7UcXKAkZJNF8C0vvKuaNiHd_uXE9aM-M-CEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 146800, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CR_V', 'modelName': 'CR-V', 'power': 166, 'price': 999000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2010}",146 800 км,Б/у,Honda,CR-V,III Рестайлинг,2.4 AT (166 л.с.) 4WD,2021-05-12 02:07:48.312632+03:00,1620774468,2010,№ 1102299464,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,Растаможен,999 000 ₽,10 лет и 6 месяцев
седан,чёрный,"- климат- ксенон- омыватель фар- обогрев сидений- мультируль- птф- камера зад + бока- электро сиденья- люкАвтомобили с пробегом.Мы готовы Вам предложить по-настоящему ЧЕСТНЫЕ Автомобили с пробегом от Официального Дилера! На нашем складе более 1000 автомобилей, выберите Свой!Срочный выкуп день-в-день!Комиссионная продажа на Ваших условиях!»Ауди Центра Таганка — официальный дилер Audi с 1998 года  и нам действительно важно, чтобы наши клиенты чувствовали себя защищенными, выбирая автомобиль с пробегом.Данный автомобиль можно приобрести в кредит и воспользоваться услугой Trade In  (обмен любого Вашего авто быстро, выгодно и безопасно).Гарантированная скидка на данный автомобиль при обмене на ВАШ.Осмотр ежедневно с 9:00 до 22:00, без перерыва и выходных.*Указан ориентировочный платеж по кредиту c первоначальным взносом 50% сроком на 60 месяцев, ставка 10,9% (ПАО Банк ВТБ)№cme3-M-1-28497Комплектация:• Парктроник передний и задний• Камера заднего вида• Климат-контроль• Подогрев сидений водителя и пассажира• Кожаная обивка салона• Люк• Размер дисков 16″• Омыватель фар• Отметки ТО Частично• Сервисная книжка• 2 комплекта ключей",2.4 л / 180 л.с. / Бензин,2.4 л , 180 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMSLustmsuiOeZPyjbCALiIJH-GlMJPG5ft4f3_a9mAJamXQNOIqJ2CEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 154442, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'ACCORD', 'modelName': 'Accord', 'power': 180, 'price': 1079000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2013}",154 442 км,Б/у,Honda,Accord,IX,2.4 AT (180 л.с.),2021-05-12 02:07:48.876782+03:00,1620774468,2013,№ 1103251642,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,Растаможен,1 079 000 ₽,
седан,серый,"Продаю свой автомобиль. Я собственник, владею 2 года. За машиной следил и ухаживал, последнее ТО 08.12.20 (пробег был 114065) вся история моего обслуживания за владение есть в фитсервисе. 2 комплекта ключей. Без ДТП, кузов в родной краске. Юридически чистая, штрафов нет. Пробег родной. Максимальная комплектация: с лепестками на руле, электроприводом зеркал, мультируль и круиз контролем. Доп сигнализация. Магнитола андроид, есть блютуз. Из больших ремонтов: менял тормоза в круг (диски и колодки) , подушку двигателя, рычаги передние и втулки стабилизатора. Есть комплект зимних колёс в сборе на оригинальных дисках.Более детально по телефону, звоните с 09:00 до 23:00. Салоны и перекупы прошу не беспокоить. ",1.8 л / 140 л.с. / Бензин,1.8 л , 140 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4928462/a66b2d0878c9a1eef893c65a6457d37a/1200x900', 'km-age': 120600, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CIVIC', 'modelName': 'Civic', 'power': 140, 'price': 590000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2007}",120 600 км,Б/у,Honda,Civic,VIII,1.8 AT (140 л.с.),2021-05-12 02:07:49.794310+03:00,1620774469,2007,№ 1103503004,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,Растаможен,590 000 ₽,
внедорожник 5 дв.,серый,"Учетный № 1522Комплектация «Executive»:• Антиблокировочная система• Система курсовой устойчивости• Подушки безопасности• Сигнализация• Бортовой компьютер• Круиз-контроль• Парктроник передний и задний• Камера заднего вида• Датчик света• Датчик дождя• Усилитель руля• Регулировка руля• Электрорегулировка сиденья водителя с памятью положения• Электрорегулировка сиденья пассажира• Регулировка задних сидений • Электростеклоподъемники передние и задние• Электропривод зеркал• Электропривод крышки багажника• Солнцезащитные шторки в задних дверях• Климат-контроль• Подогрев сидений водителя, пассажира и задних пассажиров• Обогрев зеркал• Обогрев заднего стекла• CD• USB• Радио• AUX• Мультифункциональное рулевое колесо• Розетка 12V• Кожаная обивка салона• Люк• Третий ряд сидений• Передний центральный подлокотник• Прикуриватель и пепельница• Литые легкосплавные диски• Размер дисков 17″• Задние тонированные стекла• Галогенные фары• Противотуманные фары• Корректор фар• Омыватель фар• Сервисная книжка• ПТС• Свидетельство о регистрации• Руководство• 2 комплекта ключейАвтомобиль прошел диагностику и предпродажную подготовку.Обслуживался согласно регламенту.На все автомобили компания предоставляет гарантию юридической чистоты.Так же Вы можете обменять свой автомобиль на представленный.Возможно приобретение автомобиля в кредит, оформление страховки, Trade in.Более подробную информацию Вы можете получить у менеджеров по продаже автомобилей.",3.5 л / 249 л.с. / Бензин,3.5 л , 249 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4364158/c3203ac5f389b938dbf437c7fee38ca5/1200x900', 'km-age': 111000, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'PILOT', 'modelName': 'Pilot', 'power': 249, 'price': 1855000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2014}",111 000 км,Б/у,Honda,Pilot,II Рестайлинг,3.5 AT (249 л.с.) 4WD,2021-05-12 02:07:50.522490+03:00,1620774470,2014,№ 1103450304,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 855 000 ₽,
седан,чёрный,"Наш автосалон обеспечивает максимальную безопасность и уверенность при покупке автомобиля с пробегом.- На автомобиль предоставляется гарантия юридической чистоты- Приглашаем Вас на бесплатный Тест-Драйв- Удобная услуга TRADE – IN , предоставляющая дополнительные привилегии на приобретаемый автомобильДанный автомобиль можно приобрести в кредит на ОСОБЫХ условиях от Банков Партнеров по двум документам:— Первоначальный взнос от 0%;— Срок кредита от 6 месяцев до 7 лет;— Процентная ставка от 7,9% годовых;— Оформление кредита по двум документам;— Сумма кредита от 50 000 до 2 500 000 рублей;— Досрочное погашение без штрафов и комиссий;— Без справок и поручителей.Мы всегда рады видеть Вас в числе своих друзей и клиентов.Наш адрес : ул. Маршала Прошлякова д.19Время работы с 10:00 до 20:00 без выходных",2.4 л / 190 л.с. / Бензин,2.4 л , 190 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hQWLOgvk8CiYucdmzPFVbmCLHWBlsEeRsbstfz6OIGFJfieFdmN8cmCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 143657, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'ACCORD', 'modelName': 'Accord', 'power': 190, 'price': 505000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2007}",143 657 км,Б/у,Honda,Accord,VII Рестайлинг,2.4 AT (190 л.с.),2021-05-12 02:07:51.549735+03:00,1620774471,2007,№ 1103173384,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,Растаможен,505 000 ₽,
внедорожник 5 дв.,коричневый,Авто в отличном состоянии. По факту два владельца. ,2.4 л / 166 л.с. / Бензин,2.4 л , 166 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMWKuovmc6iNudIl2CQU-2HIiOEkcRKQMXt4feuataAJaqTSISG_MiCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 105000, 'mark': 'HONDA', 'markName': 'Honda', 'model': 'CR_V', 'modelName': 'CR-V', 'power': 166, 'price': 1175000, 'puid2': '3155', 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2012}",105 000 км,Б/у,Honda,CR-V,III Рестайлинг,2.4 AT (166 л.с.) 4WD,2021-05-12 02:07:52.258217+03:00,1620774472,2012,№ 1103398301,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 175 000 ₽,
