bodyType,color,description,engine,engineDisplacement,enginePower,fuelType,equipment_dict,mileage,card_type,brand,model_name,model_name2,name,datetime,parsing_unixtime,productionDate,sell_id,vehicleTransmission,Владельцы,Владение,ПТС,Привод,Руль,Состояние,Таможня,price
внедорожник 5 дв.,белый,"Комплектация Sensory. Дистанционный запуск двигателя. 249л.с. Без вложений, двигатель и коробка работают без нареканий. Хорошая комплектация, камеры 360, проекция, пассивная безопасность, удержание в полосе, подрулевые лепестки, подогревы руля и сидений, панорамная крыша с люком. Торг у капота.",2.0 л / 272 л.с. / Бензин,2.0 л , 272 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMZJegqm86iOLpPnjbHAerXIiWKlMdKQsSxsPWpOdODIqvDEtKJ8M6CEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 15900, 'mark': 'INFINITI', 'markName': 'Infiniti', 'model': 'QX50', 'modelName': 'QX50', 'power': 272, 'price': 2650000, 'puid2': '3158', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'VARIATOR', 'type': 'suv', 'year': 2018}",15 900 км,Б/у,Infiniti,QX50,II,2.0 CVT (272 л.с.),2021-05-12 02:08:26.805895+03:00,1620774506,2018,№ 1103213023,вариатор,1 владелец,1 год и 1 месяц,Оригинал,передний,Левый,Не требует ремонта,Растаможен,2 650 000 ₽
внедорожник 5 дв.,чёрный,,5.6 л / 405 л.с. / Бензин,5.6 л , 405 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMQL-kqk8iiZrNPnTPDA7jXLXGAkcRIEsbjtKesa4KBcq2XRYWN-ZiCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 98000, 'mark': 'INFINITI', 'markName': 'Infiniti', 'model': 'QX80', 'modelName': 'QX80', 'power': 405, 'price': 2380000, 'puid2': '3158', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2014}",98 000 км,Б/у,Infiniti,QX80,I,5.6 AT (405 л.с.) 4WD,2021-05-12 02:08:27.434233+03:00,1620774507,2014,№ 1103201900,автоматическая,3 или более,4 месяца,Оригинал,полный,Левый,Не требует ремонта,Растаможен,2 380 000 ₽
внедорожник 5 дв.,чёрный,"ГОД ВЫПУСКА 2014. ПТС ВЫДАН В 2015 ГОДУ. ЭКСПЛУАТАЦИЯ С 2015 ГОДА. 1 СОБСТВЕННИК. АВТОМОБИЛЬ В ЗАВОДСКОМ ОКРАСЕ. ПОЛНОСТЬЮ ОБКЛЕЕН БРОНЕПЛЕНКОЙ. НА АВТО УСТАНОВЛЕН ОРИГИНАЛЬНЫЙ ОБВЕС LARTE! ПОЛНОЦЕННЫЙ ДИВАН!!! МАШИНА ОБСЛУЖИВАЛАСЬ ИСКЛЮЧИТЕЛЬНО У ОФИЦИАЛЬНОГО ДИЛЕРА. ПРОБЕГ ПОДТВЕРЖДЕН ДИЛЕРОМ. ИМЕЕТСЯ ДИАГНОСТИКА ОФИЦИАЛЬНОГО ДИЛЕРА. ПОЛНЫЙ КОМПЛЕКТ КЛЮЧЕЙ. БОГАТЕЙШАЯ КОМПЛЕКТАЦИЯ: ПРЕМИАЛЬНАЯ МУЗЫКА BOSE, НАВИГАЦИЯ, КАМЕРЫ 360, KEY-LESS-GO, DVD ДЛЯ ЗАДНИХ ПАССАЖИРОВ, 3-Х ЗОННЫЙ КЛИМАТ, ОБОГРЕВ РУЛЯ, ОБОГРЕВ И ВЕНТИЛЯЦИЯ СИДЕНИЙ, ТЕЛЕФОН.ВОЗМОЖНА ПРОДАЖА В КРЕДИТ. ВОЗМОЖЕН ОБМЕН. ",5.6 л / 405 л.с. / Бензин,5.6 л , 405 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hURKOopmsiiYeEUy2vCBeSHcXSFlMQZFZTh5aetP4bUL_CQRtSJqpuCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 84300, 'mark': 'INFINITI', 'markName': 'Infiniti', 'model': 'QX80', 'modelName': 'QX80', 'power': 405, 'price': 2950000, 'puid2': '3158', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2014}",84 300 км,Б/у,Infiniti,QX80,I Рестайлинг,5.6 AT (405 л.с.) 4WD,2021-05-12 02:08:28.073382+03:00,1620774508,2014,№ 1103211535,автоматическая,1 владелец,6 лет и 2 месяца,Оригинал,полный,Левый,Не требует ремонта,Растаможен,2 950 000 ₽
седан,белый,"Продажа от официального дилера ГК «АВТОМИР».► Увеличенная выгода до 60 000 руб. при обмене на Ваш автомобиль► Выгода при покупке а/м в кредит - до 50 000 руб., процентные ставки от 6,9%► Возможна покупка автомобиля в кредит БЕЗ первоначального взноса и КАСКООфициальный дилер ГК «АВТОМИР» уже более 25 ЛЕТ  продает легковые и коммерческие автомобили любой марки, года выпуска и пробега!На представленном автомобиле:• Проведена комплексная, техническая и криминалистическая проверка.• Проверена история кузовных ремонтов сертифицированными специалистами.• Выдана Гарантия юридической чистоты в соответствии с законодательством РФ.Мы предлагаем:✔ Срочный выкуп Вашего автомобиля✔ Выкуп кредитных автомобилей✔ Трейд-ин - обмен Вашего автомобиля на новый или с пробегом✔ Комиссионная продажа - на Ваших условиях✔ Кредитование✔ Страхование КАСКО, ОСАГО✔ Дополнительное оборудование✔ Запасные частиКомплектация:• Антиблокировочная система• Подушки безопасности водителя• Система крепления детских автокресел• Центральный замок• Бортовой компьютер• Круиз-контроль• Камера заднего вида• Датчик света• Датчик дождя• Гидро усилитель руля• Система доступа без ключа• Электрорегулировка сиденья водителя с памятью положения• Электростеклоподъемники передние• Электропривод зеркал• Климат-контроль 2-зонный• Подогрев сидений• Обогрев зеркал• CD• Bluetooth• Кожаная обивка салона• Темный салон• Литые легкосплавные диски• Тонированные стекла• Домкрат• Комплект резиновых ковриков• Полноразмерное запасное колесо",2.5 л / 222 л.с. / Бензин,2.5 л , 222 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMVKekin8miM7ZPmTTGAr_XIXHQxpUfFMDhs_OuNtGHI_DEFtaOq86CEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 208704, 'mark': 'INFINITI', 'markName': 'Infiniti', 'model': 'G35', 'modelName': 'G', 'power': 222, 'price': 710000, 'puid2': '3158', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2011}",208 704 км,Б/у,Infiniti,G,IV,G25 2.5 AT (222 л.с.),2021-05-12 02:08:28.726714+03:00,1620774508,2011,№ 1102616067,автоматическая,3 или более,,Оригинал,задний,Левый,Не требует ремонта,Растаможен,710 000 ₽
внедорожник 5 дв.,чёрный,Автомобиль 2017 года выпуска .Куплен и начал эксплуатироваться в мае 2018 года. (Гарантия официального дилера до 05.2021)Один собственник !!! Оригинал ПТС!!! Комплект ключей!!!Обслуживание по регламенту у оф. дилера.( есть вся история обслуживания)Оригинальный пробег 39000!!!Максимальная комплектация!!!Салон в идеальном состоянии!!!Без дтп!!!,5.6 л / 405 л.с. / Бензин,5.6 л , 405 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hYWLe0pnc-iZbJImmrCBuTULSHQl5MfFZDmsaSubNbTIviVQtmMrZmCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 39000, 'mark': 'INFINITI', 'markName': 'Infiniti', 'model': 'QX80', 'modelName': 'QX80', 'power': 405, 'price': 3669000, 'puid2': '3158', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2017}",39 000 км,Б/у,Infiniti,QX80,I Рестайлинг,5.6 AT (405 л.с.) 4WD,2021-05-12 02:08:29.496988+03:00,1620774509,2017,№ 1102860202,автоматическая,1 владелец,3 года,Оригинал,полный,Левый,Не требует ремонта,Растаможен,3 669 000 ₽
внедорожник 5 дв.,серый,"Ищете Infiniti FX с пробегом на особых условиях? Официальному дилеру РОЛЬФ Центр | Автомобили с пробегом есть, что Вам предложить! Мы предлагаем FX с проведенной комплексной, технической, юридической и криминалистической проверкой.Специально для Вас:✅ Кредитование (возможна покупка автомобиля в кредит без первоначального взноса).✅ Страхование КАСКО, ОСАГО.✅ Трейд-ин — обмен Вашего автомобиля на новый или с пробегом.✅ Срочный выкуп Вашего автомобиля.✅ Выкуп кредитных автомобилей.✅ Комиссионная продажа на Ваших условиях.✅ Дополнительное оборудование.Мы ждем Вас каждый день с 08:00 до 22:00 по адресу: Москва, 2-й Магистральный тупик, 5А.",3.5 л / 280 л.с. / Бензин,3.5 л , 280 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4470305/bfd4be4aff06c9257929c94913645914/1200x900', 'km-age': 162000, 'mark': 'INFINITI', 'markName': 'Infiniti', 'model': 'FX', 'modelName': 'FX', 'power': 280, 'price': 509000, 'puid2': '3158', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2006}",162 000 км,Б/у,Infiniti,FX,I (S50) Рестайлинг,FX35 3.5 AT (280 л.с.) 4WD,2021-05-12 02:08:30.106373+03:00,1620774510,2006,№ 1102702293,автоматическая,3 или более,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,509 000 ₽
внедорожник 5 дв.,серый,"САМЫЙ НАДЕЖНЫЙ БЕНЗИНОВЫЙ МОТОР 3,5/ 262 л.с !!!КОЖАНЫЙ САЛОН  !!!.... СОСТОЯНИЕ НОВОГО АВТОМОБИЛЯ !!!РОДНОЙ ПРОБЕГ !!!ВСЕ ОБСЛУЖИВАНИЕ У ОФИЦИАЛЬНОГО ДИЛЕРА !!! КОМПЛЕКТАЦИЯ Elite !!!-7 местный-Полный привод-Подогревы руля,зеркал,стекла-Мультируль-Электро зеркала-Акустическая система 8 колонок-Автозатемнение зерка-Память водительского сидения-Эл. Регулировка передних сидений- Люк-Круиз контроль-Камера заднего вида -Парктроники-3-х зонный климат-Подогревы передних сидений-Датчик света-Датчик дождяИ МНОГОЕ ДРУГОЕ ...!!!Если Вы действительно ищите надежный,точнее ЛЕГЕНДАРНЫЙ Infiniti QX60 , то этот автомобиль для Вас.Готовы на любые проверки. Приезжайте со своим специалистом, подъемник и прибор ЛКП предоставляем.ВОЗМОЖНА ПОДАЧА ЗАЯВКИ НА КРЕДИТ ПО ТЕЛЕФОНУ!!!",3.5 л / 262 л.с. / Бензин,3.5 л , 262 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/2197701/b07edb784826c6dbfe3b606fbc990729/1200x900', 'km-age': 67000, 'mark': 'INFINITI', 'markName': 'Infiniti', 'model': 'QX60', 'modelName': 'QX60', 'power': 262, 'price': 2549000, 'puid2': '3158', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'VARIATOR', 'type': 'suv', 'year': 2017}",67 000 км,Б/у,Infiniti,QX60,I Рестайлинг,3.5 CVT (262 л.с.) 4WD,2021-05-12 02:08:30.792324+03:00,1620774510,2017,№ 1102905570,вариатор,2 владельца,3 года и 4 месяца,Оригинал,полный,Левый,Не требует ремонта,Растаможен,2 549 000 ₽
внедорожник 5 дв.,чёрный,"Ваш выбор и Ваше время — наши главные приоритеты. Поэтому в РОЛЬФ Северо-Запад | Автомобили с пробегом мы предлагаем Вам индивидуальные условия на приобретение Infiniti QX80 с пробегом.Специально для Вас:✅ Более 1 500 проверенных автомобилей с пробегом на площади 27 000 кв.м. ✅ Более 50 брендов в различных ценовых категориях.✅ Кредитование в более чем 10 банков-партнёров.✅ Все виды страхования автомобилей.✅ Услуги ГИБДД (поставка на учет, прекращение учета, сохранение государственных знаков).✅ Гарантия до 2 лет на автомобили различных марок.✅ Юридическая чистота и безопасность сделки.✅ Онлайн-консультация по интересующему вас автомобилю.✅ Онлайн-бронирование и предоплата автомобилей.✅ Дистанционно-бесконтактный осмотр автомобиля.✅ Запись на сервисное обслуживание.РОЛЬФ Северо-Запад | Автомобили с пробегом.⭐ №1 по продажам автомобилей с пробегом в России*по данным АвтоБизнесРевюМы рады видеть Вас ежедневно с 10:00 до 22:00 по адресу: Москва, 71-й километр, 16А, МКАД.",5.6 л / 405 л.с. / Бензин,5.6 л , 405 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hUQL-8vk86iMrFOnjbGUuiFIH_Rl5QQFM6wsPeoNtSAJfzFEtTdrMyCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 37450, 'mark': 'INFINITI', 'markName': 'Infiniti', 'model': 'QX80', 'modelName': 'QX80', 'power': 405, 'price': 5199000, 'puid2': '3158', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2019}",37 450 км,Б/у,Infiniti,QX80,I Рестайлинг 2,5.6 AT (405 л.с.) 4WD,2021-05-12 02:08:31.876208+03:00,1620774511,2019,№ 1103493679,автоматическая,1 владелец,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,5 199 000 ₽
внедорожник 5 дв.,чёрный,"- максимальная для этого авто- вентиляция сидений- навигация- камеры 360- мониторы в подголовникахАвтомобили с пробегом.Мы готовы Вам предложить по-настоящему ЧЕСТНЫЕ Автомобили с пробегом от Официального Дилера! На нашем складе более 1000 автомобилей, выберите Свой!Срочный выкуп день-в-день!Комиссионная продажа на Ваших условиях!»Ауди Центра Таганка — официальный дилер Audi с 1998 года  и нам действительно важно, чтобы наши клиенты чувствовали себя защищенными, выбирая автомобиль с пробегом.Данный автомобиль можно приобрести в кредит и воспользоваться услугой Trade In  (обмен любого Вашего авто быстро, выгодно и безопасно).Гарантированная скидка на данный автомобиль при обмене на ВАШ.Осмотр ежедневно с 9:00 до 22:00, без перерыва и выходных.*Указан ориентировочный платеж по кредиту c первоначальным взносом 50% сроком на 60 месяцев, ставка 10,9% (ПАО Банк ВТБ)№cme3-_M-1-28450Комплектация:• Антиблокировочная система• Система курсовой устойчивости• Система контроля слепых зон• Система предотвращения столкновения• Датчик давления в шинах• Подушки безопасности водителя• Подушки безопасности пассажира• Боковые передние подушки безопасности• Оконные шторки безопасности• Система крепления детских автокресел• Датчик проникновения в салон (датчик объема)• Иммобилайзер• Центральный замок• Бортовой компьютер• Адаптивный круиз-контроль• Парктроник передний и задний• Камера заднего вида• Камера 360°• Система помощи при старте в гору• Система контроля за полосой движения• Датчик света• Датчик дождя• Активный усилитель руля• Запуск двигателя с кнопки• Система доступа без ключа• Регулировка руля• Электрорегулировка сиденья водителя с памятью положения• Электрорегулировка сиденья пассажира с памятью положения• Электростеклоподъемники передние и задние• Электропривод зеркал• Электропривод крышки багажника• Климат-контроль 1-зонный• Вентиляция сидений водителя и пассажира• Подогрев сидений водителя, пассажира и задних пассажиров• Обогрев зеркал• Обогрев зоны стеклоочистителей• Навигационная система• CD• USB• Bluetooth• Hi-Fi• Аудиоподготовка• Мультимедиа система для задних пассажиров• Мультифункциональное рулевое колесо• Розетка 12V• Кожаная обивка салона• Отделка кожей рычага КПП• Кожаный руль• Люк• Панорамная крыша• Складывающееся заднее сидение• Третий задний подголовник• Третий ряд сидений• Передний центральный подлокотник• Металлические накладки на педали• Накладки на пороги• Литые легкосплавные диски• Размер дисков 20″• Тонированные стекла• Рейлинги на крыше• Декоративные молдинги• Ксеноновые фары• Противотуманные фары• Корректор фар• Омыватель фар• Отметки ТО Частично• 2 комплекта ключей",2.5 л / 231 л.с. / Гибрид,2.5 л , 231 л.с. , Гибрид,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'HYBRID', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/1904718/f56774bfdd23d01f4547cf38319d3ca0/1200x900', 'km-age': 141751, 'mark': 'INFINITI', 'markName': 'Infiniti', 'model': 'QX60', 'modelName': 'QX60', 'power': 231, 'price': 1628000, 'puid2': '3158', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'VARIATOR', 'type': 'suv', 'year': 2014}",141 751 км,Б/у,Infiniti,QX60,I,2.5hyb CVT (231 л.с.) 4WD,2021-05-12 02:08:33.066444+03:00,1620774513,2014,№ 1103096094,вариатор,1 владелец,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 628 000 ₽
внедорожник 5 дв.,чёрный,"Ваш выбор и Ваше время — наши главные приоритеты. Поэтому в РОЛЬФ Северо-Запад | Автомобили с пробегом мы предлагаем Вам индивидуальные условия на приобретение Infiniti QX80 с пробегом.Специально для Вас:✅ Более 1 500 проверенных автомобилей с пробегом на площади 27 000 кв.м. ✅ Более 50 брендов в различных ценовых категориях.✅ Кредитование в более чем 10 банков-партнёров.✅ Все виды страхования автомобилей.✅ Услуги ГИБДД (поставка на учет, прекращение учета, сохранение государственных знаков).✅ Гарантия до 2 лет на автомобили различных марок.✅ Юридическая чистота и безопасность сделки.✅ Онлайн-консультация по интересующему вас автомобилю.✅ Онлайн-бронирование и предоплата автомобилей.✅ Дистанционно-бесконтактный осмотр автомобиля.✅ Запись на сервисное обслуживание.РОЛЬФ Северо-Запад | Автомобили с пробегом.⭐ №1 по продажам автомобилей с пробегом в России*по данным АвтоБизнесРевюМы рады видеть Вас ежедневно с 10:00 до 22:00 по адресу: Москва, 71-й километр, 16А, МКАД.",5.6 л / 405 л.с. / Бензин,5.6 л , 405 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMTKOwumMGiMrYUlmGSU-SJLSGDwMkQE5SwtaT4bYaJJ_HAQIOP_cmCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 158031, 'mark': 'INFINITI', 'markName': 'Infiniti', 'model': 'QX80', 'modelName': 'QX80', 'power': 405, 'price': 1684000, 'puid2': '3158', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2014}",158 031 км,Б/у,Infiniti,QX80,I,5.6 AT (405 л.с.) 4WD,2021-05-12 02:08:33.910510+03:00,1620774513,2014,№ 1103501868,автоматическая,3 или более,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 684 000 ₽
