bodyType,color,description,engine,engineDisplacement,enginePower,fuelType,equipment_dict,mileage,card_type,brand,model_name,model_name2,name,datetime,parsing_unixtime,productionDate,sell_id,vehicleTransmission,Владельцы,Владение,ПТС,Привод,Руль,Состояние,Таможня,price
хэтчбек 5 дв.,белый,"Один хозяин. Оригинал ПТС. Состояние нового автомобиля. Полностью дилерское обслуживание. Без ДТП. В родном окрасе.Капот, фары, и все зоны риска в бронепленке.Хорошая комплектация: спортивный салон с эл. приводом и памятью, TFT приборная панель, 2-х зонный климат контроль, volvo on call и другое.Новая летняя резина.",1.5 л / 152 л.с. / Бензин,1.5 л , 152 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMSJesum8yiObRNzmGXBu_VdiHQl5AZF8Tttab4N4KDJfGQQYWPr86CEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 45000, 'mark': 'VOLVO', 'markName': 'Volvo', 'model': 'V40_CC', 'modelName': 'V40 Cross Country', 'power': 152, 'price': 1640000, 'puid2': '3198', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2017}",45 000 км,Б/у,Volvo,V40 Cross Country,I Рестайлинг,1.5 AT (152 л.с.),2021-05-12 02:07:57.513421+03:00,1620774477,2017,№ 1103342890,автоматическая,1 владелец,3 года и 7 месяцев,Оригинал,передний,Левый,Не требует ремонта,Растаможен,1 640 000 ₽
хэтчбек 5 дв.,чёрный,"Стильный, безопасный, динамичный и надежный авто, собранный в Бельгии.Комплектация с хорошим мотором и полноценной автоматической коробкой передач.Технически обслужен.Продажа с полным переоформлением.",2.0 л / 180 л.с. / Бензин,2.0 л , 180 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4530839/296f68514afe9a6c5b462ff6d53899d2/1200x900', 'km-age': 135000, 'mark': 'VOLVO', 'markName': 'Volvo', 'model': 'V40_CC', 'modelName': 'V40 Cross Country', 'power': 180, 'price': 885000, 'puid2': '3198', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2013}",135 000 км,Б/у,Volvo,V40 Cross Country,I,2.0 AT (180 л.с.),2021-05-12 02:07:58.376896+03:00,1620774478,2013,№ 1103463370,автоматическая,3 или более,1 год,Оригинал,передний,Левый,Не требует ремонта,Растаможен,885 000 ₽
внедорожник 5 дв.,синий,Вольво хс90 V8 R-design. Цвет глубокий черно-синий.7 МЕСТ.R-design внутри и снаружи.Заводской раздвоенный выхлоп. Колёса R19 с новой зимней резиной. Чёрный кожаный 7 местный  салон.Двойное антивандальное остекление. Монитор с навигацией. Заркала с Bliss системой. Полностью переделан головной свет.Установлены светодиодные линзы. Без люка.Без мониторов. Установлен оригинальный съёмный фаркоп. Полностью обслужен. Все ТО своевременно. Без аварий и повреждений. Все детали в оригинальном окрасе. Отличное состояние. ,4.4 л / 315 л.с. / Бензин,4.4 л , 315 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4721967/6c995ea229166fb27c36b2dc9e43ead8/1200x900', 'km-age': 268512, 'mark': 'VOLVO', 'markName': 'Volvo', 'model': 'XC90', 'modelName': 'XC90', 'power': 315, 'price': 1250000, 'puid2': '3198', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2008}",268 512 км,Б/у,Volvo,XC90,I Рестайлинг,4.4 AT (315 л.с.) 4WD,2021-05-12 02:07:59.208848+03:00,1620774479,2008,№ 1102895637,автоматическая,3 или более,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 250 000 ₽
внедорожник 5 дв.,чёрный,Автомобиль приобретался у официального дилера. В идеальном внешнем и техническом состоянии. Весь в родном окрасе. Очень богатая комплектация.,2.4 л / 200 л.с. / Дизель,2.4 л , 200 л.с. , Дизель,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'DIESEL', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/1989244/16b42de05a0af5e639bf9f0c3ecde109/1200x900', 'km-age': 116000, 'mark': 'VOLVO', 'markName': 'Volvo', 'model': 'XC90', 'modelName': 'XC90', 'power': 200, 'price': 1570000, 'puid2': '3198', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2013}",116 000 км,Б/у,Volvo,XC90,I Рестайлинг,2.4d AT (200 л.с.) 4WD,2021-05-12 02:07:59.873923+03:00,1620774479,2013,№ 1102909423,автоматическая,3 или более,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 570 000 ₽
внедорожник 5 дв.,белый,"Все автомобили, представленные в продаже, проходят тщательную проверку по более 40 параметрам. Предоставляем гарантию юридической чистоты, а так же год технической гарантии на двигатель и КПП. Бесплатный тест-драйв. Возможно оформление автомобиля в кредит!Преимущества автокредитования:— Первоначальный взнос от 0%;— Более 30 кредитных программ;— Процентная ставка от 4.9% годовых;— Срок кредита от 6 месяцев до 7 лет;— Оформление кредита по двум документам;— Досрочное погашение без штрафов и комиссий;— Сумма кредита до 2 млн рублей;— Оформление КАСКО – по желанию;— Без справок и поручителей.Сотрудничаем с 12 аккредитованными и сертифицированными банками РФ, среднее время ожидания решения банка 20–30 минут.Получите дополнительную скидку до 50 000 рублей при покупке автомобиля по программе «Trade-in – выгодный обмен», и до 100 000 рублей при покупке автомобиля в кредит!Записаться на тест-драйв, а так же получить подробную информацию можно у специалистов автоцентра по указанному номеру телефона.",2.4 л / 163 л.с. / Дизель,2.4 л , 163 л.с. , Дизель,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'DIESEL', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4077479/d7861752b128dfb8575273b1cb84be4d/1200x900', 'km-age': 106000, 'mark': 'VOLVO', 'markName': 'Volvo', 'model': 'XC60', 'modelName': 'XC60', 'power': 163, 'price': 1095000, 'puid2': '3198', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2012}",106 000 км,Б/у,Volvo,XC60,I,2.4d AT (163 л.с.) 4WD,2021-05-12 02:08:00.564991+03:00,1620774480,2012,№ 1101934378,автоматическая,3 или более,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 095 000 ₽
внедорожник 5 дв.,коричневый,"СОСТОЯНИЕ НОВОГО АВТОМОБИЛЯ!!!  1 владелец. Полный НДС 20%.  Возможна покупка в Лизинг.КОЖАННЫЙ САЛОН... ПАМЯТЬ СИДЕНИЙ... АДАПТИВНЫЙ ГОЛОВНОЙ СВЕТ.. КРУИЗ КОНТРОЛЬ...Этот автомобиль Вы можете приобрести в кредит , а также воспользоваться услугой Trade In (обмен любого Вашего автомобиля на этот быстро, выгодно и безопасно).Мы гарантируем дополнительную скидка на данный автомобиль при обмене на Ваш.Дилерские центры АВТОDOM Алтуфьево (Ауди Центр Алтуфьево, VOLVO CAR АЛТУФЬЕВО и Jaguar Land Rover АВТОДОМ) удобно расположены на Севере Москвы, на 85-км МКАД.Группа Компаний AВTODOM - автомобильный холдинг, специализирующийся на продажах и техническом обслуживании автомобилей премиум-сегмента с 1992 года. Мы - одна из первых в России компаний, которая предложила клиентам услуги по выкупу автомобиля и принятия автомобиля в зачет стоимости нового.Профильные автомобили с пробегом в наших центрах продаются по программе сертифицированных автомобилей, таких как «Audi с пробегом: plus», Volvo Select и Jaguar Land Rover ApprovedНа каждый сертифицированный по программе производителя автомобиль с пробегом предоставляется гарантия изготовителя или пост гарантийная поддержка минимум на 12 месяцев.Нам важно, чтобы при покупке автомобиля Вы чувствовали себя максимально защищенными!Продайте или обменяйте свой автомобиль на новый Audi, Volvo, Jaguar или Land Rover с доплатой на персональных условиях.Мы обеспечиваем высокое качество обслуживания клиентов и делаем Вашу жизнь удобнее, позитивнее и ярче.Наши двери ежедневно открыты для Вас с 9:00 до 21:00, без перерыва и выходных.До встречи в АВТОDOM Алтуфьево!Возможен торг.Комплектация «Summum»:• Антиблокировочная система• Система курсовой устойчивости• Подушки безопасности водителя• Подушки безопасности пассажира• Боковые передние подушки безопасности• Оконные шторки безопасности• Система крепления детских автокресел• Датчик проникновения в салон (датчик объема)• Иммобилайзер• Центральный замок• Бортовой компьютер• Круиз-контроль• Парктроник задний• Система помощи при старте в гору• Датчик света• Усилитель руля• Регулировка руля• Электрорегулировка сиденья водителя с памятью положения• Электрорегулировка сиденья пассажира с памятью положения• Электростеклоподъемники передние и задние• Электропривод зеркал• Кондиционер• Климат-контроль 1-зонный• Подогрев сидений водителя и пассажира• Обогрев зеркал• CD• USB• Bluetooth• AUX• Hi-Fi• Аудиоподготовка• Мультифункциональное рулевое колесо• Розетка 12V• Кожаная обивка салона• Отделка кожей рычага КПП• Кожаный руль• Складывающееся заднее сидение• Третий задний подголовник• Передний центральный подлокотник• Литые легкосплавные диски• Размер дисков 17″• Рейлинги на крыше• Декоративные молдинги• Отметки ТО Все• 2 комплекта ключей",2.4 л / 190 л.с. / Дизель,2.4 л , 190 л.с. , Дизель,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'DIESEL', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hYYLu4vm8CiMbsYymqXUrnVIXPRksQQG8fhsfGgO9bSJfuVQIGIqMuCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 36590, 'mark': 'VOLVO', 'markName': 'Volvo', 'model': 'XC60', 'modelName': 'XC60', 'power': 190, 'price': 2260194, 'puid2': '3198', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2016}",36 590 км,Б/у,Volvo,XC60,I Рестайлинг,2.4d AT (190 л.с.) 4WD,2021-05-12 02:08:01.279263+03:00,1620774481,2016,№ 1101743637,автоматическая,1 владелец,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,2 260 194 ₽
внедорожник 5 дв.,чёрный,Автомобиль в отличном состояний вложений не требует. Два комплекта резины. Звоните приезжайте.,2.5 л / 210 л.с. / Бензин,2.5 л , 210 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMRKu8im8CiOOIfymLDBOzTLHKDnJUbFZLmsvGtP4WFIPzCSNPd_ZqCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 185220, 'mark': 'VOLVO', 'markName': 'Volvo', 'model': 'XC90', 'modelName': 'XC90', 'power': 210, 'price': 515000, 'puid2': '3198', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2004}",185 220 км,Б/у,Volvo,XC90,I,2.5 AT (210 л.с.) 4WD,2021-05-12 02:08:02.341901+03:00,1620774482,2004,№ 1102744201,автоматическая,3 или более,2 года и 4 месяца,Оригинал,полный,Левый,Не требует ремонта,Растаможен,515 000 ₽
внедорожник 5 дв.,чёрный,"В продаже автомобиль от компании АО ABTODOM, официальный дилер (BMW, MINI, BMW i, BMW Motorrad)Все наши автомобили на площадке АО ABTODOM МКАД 51 вы можете посмотреть, нажав на ссылку ""ПРОДАВЕЦ ABTODOM"" в контактной информации!!!",2.0 л / 235 л.с. / Дизель,2.0 л , 235 л.с. , Дизель,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'DIESEL', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/2049647/1635f53a179ce316f0122bd6b6ec6498/1200x900', 'km-age': 80616, 'mark': 'VOLVO', 'markName': 'Volvo', 'model': 'XC90', 'modelName': 'XC90', 'power': 235, 'price': 3420000, 'puid2': '3198', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2017}",80 616 км,Б/у,Volvo,XC90,II,2.0d AT (235 л.с.) 4WD,2021-05-12 02:08:03.033960+03:00,1620774483,2017,№ 1102874784,автоматическая,1 владелец,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,3 420 000 ₽
седан,серый,"Наш автосалон обеспечивает максимальную безопасность и уверенность при покупке автомобиля с пробегом.- На автомобиль предоставляется гарантия юридической чистоты- Приглашаем Вас на бесплатный Тест-Драйв- Удобная услуга TRADE – IN , предоставляющая дополнительные привилегии на приобретаемый автомобильДанный автомобиль можно приобрести в кредит на ОСОБЫХ условиях от Банков Партнеров по двум документам:— Первоначальный взнос от 0%;— Срок кредита от 6 месяцев до 7 лет;— Процентная ставка от 7,9% годовых;— Оформление кредита по двум документам;— Сумма кредита от 50 000 до 2 500 000 рублей;— Досрочное погашение без штрафов и комиссий;— Без справок и поручителей.Мы всегда рады видеть Вас в числе своих друзей и клиентов.Наш адрес : ул. Маршала Прошлякова д.19Время работы с 10:00 до 20:00 без выходных",1.8 л / 122 л.с. / Бензин,1.8 л , 122 л.с. , Бензин,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://autoru.naydex.net/muw1x2723/0a4b9cL8fRgV/oZ2frms_h6gcJl5ssUk5CwzMNHHI9ac2dC48rBHql3CS2uKHG5WoX4-hMWK-opn8GiOOAazWXHB-6EJX-KwZVPFJDgtv2patjWJ_qSSdbb8ZqCEkvHRGU7Bvzy-yvFVCMWkxND3WKL_qFID2-tRfTZ4Hj0WeA_h1ay1kMAyciQakWanOai10qPxHOb0j-ayaz91GoSgTV6eFWD-d4s4UMKH7MJb81vouCCQk5vklz9sc9W4F3FOolQr-ByPvDchmw', 'km-age': 165456, 'mark': 'VOLVO', 'markName': 'Volvo', 'model': 'S40', 'modelName': 'S40', 'power': 122, 'price': 240000, 'puid2': '3198', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': '', 'year': 2004}",165 456 км,Б/у,Volvo,S40,I Рестайлинг,1.8 AT (122 л.с.),2021-05-12 02:08:03.918937+03:00,1620774483,2004,№ 1102862879,автоматическая,3 или более,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,240 000 ₽
внедорожник 5 дв.,чёрный,"ПРИГЛАШАЕМ на бесплатный тест-драйв!ПРИ ПОКУПКЕ АВТОМОБИЛЯ В КРЕДИТ, СКИДКИ ДО 120 000 РУБЛЕЙ!Предоставляем ГАРАНТИЮ на двигатель и коробку передач - 1 Год!Более 250 автомобилей на площадке!Сезонная резина в ПОДАРОК!*Работаем ежедневно , без праздников и выходных : 9:00 - 21:00!Крытое хорошо освещенное помещение!Все автомобили прошли:- Криминалистическую и Юридическую проверку- Комплексную Диагностику.Удобства для ВАС:- Удобный подъезд со МКАД- Парковка для клиентов- Крытый шоу-рум- Дополнительные комиссии отсутствуют.- Возможна ПОКУПКА В КРЕДИТ по специальной ставке от 5,4%- Оформление сделки за ЧасАвтокредитование:— Первоначальный взнос от 0%;— Более 20 кредитных программ;— Минимальный пакет документов – паспорт и вод. удостоверение;— Срок кредита от 6 месяцев до 7 лет;— Сумма кредита от 60 000 руб. до 3 000 000 рублей;— Досрочное погашение без штрафов и комиссий;— КАСКО – необязательно.Сотрудничаем с 15 аккредитованными и сертифицированными банками РФ, среднее время ожидания решения банка 20–30 минут.Trade in:Возможна скидка до 30 000 рублей при покупке автомобиля по программе Trade-In (обмен на ваш автомобиль) или в кредит!*Сезонная резина идет в подарок  При покупке автомобиля в Кредит!",2.4 л / 185 л.с. / Дизель,2.4 л , 185 л.с. , Дизель,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'DIESEL', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4266363/b8e1286b7053d77c06f9569bb4f89dc1/1200x900', 'km-age': 142000, 'mark': 'VOLVO', 'markName': 'Volvo', 'model': 'XC90', 'modelName': 'XC90', 'power': 185, 'price': 1295000, 'puid2': '3198', 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2011}",142 000 км,Б/у,Volvo,XC90,I Рестайлинг,2.4d AT (185 л.с.) 4WD,2021-05-12 02:08:04.531082+03:00,1620774484,2011,№ 1102778944,автоматическая,2 владельца,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,1 295 000 ₽
